name,diameter,weight,red,green,blue
orange,2.96,86.76,172.00,85.00,2.00
orange,3.91,88.05,166.00,78.00,3.00
orange,4.42,95.17,156.00,81.00,2.00
orange,4.47,95.60,163.00,81.00,4.00
orange,4.48,95.76,161.00,72.00,9.00
orange,4.59,95.86,142.00,100.00,2.00
orange,4.64,97.94,156.00,85.00,2.00
orange,4.65,98.50,142.00,74.00,2.00
orange,4.68,100.20,159.00,90.00,16.00
orange,4.69,100.31,161.00,76.00,6.00
orange,4.73,101.33,148.00,88.00,2.00
orange,4.74,101.66,166.00,69.00,2.00
orange,4.75,101.80,166.00,98.00,13.00
orange,4.77,102.56,166.00,86.00,6.00
orange,4.78,103.06,170.00,82.00,2.00
orange,4.82,103.10,162.00,87.00,12.00
orange,4.85,103.44,166.00,78.00,5.00
orange,4.91,103.46,151.00,79.00,2.00
orange,4.97,104.01,168.00,79.00,22.00
orange,5.02,104.10,179.00,73.00,2.00
orange,5.02,104.19,162.00,79.00,2.00
orange,5.08,104.56,156.00,94.00,2.00
orange,5.10,104.70,169.00,86.00,2.00
orange,5.11,104.82,146.00,84.00,2.00
orange,5.15,104.98,154.00,87.00,6.00
orange,5.16,105.22,168.00,82.00,2.00
orange,5.22,105.42,162.00,79.00,2.00
orange,5.22,105.47,161.00,75.00,10.00
orange,5.24,105.60,153.00,90.00,2.00
orange,5.24,105.62,157.00,85.00,15.00
orange,5.25,105.68,155.00,94.00,6.00
orange,5.26,106.29,155.00,93.00,2.00
orange,5.30,106.43,171.00,82.00,2.00
orange,5.30,106.85,159.00,84.00,13.00
orange,5.30,106.90,162.00,93.00,2.00
orange,5.32,106.94,145.00,82.00,2.00
orange,5.34,106.94,173.00,75.00,3.00
orange,5.35,107.01,158.00,97.00,2.00
orange,5.36,107.30,164.00,86.00,4.00
orange,5.37,107.64,178.00,92.00,7.00
orange,5.37,107.77,177.00,76.00,2.00
orange,5.37,107.85,171.00,75.00,23.00
orange,5.38,108.16,163.00,93.00,8.00
orange,5.40,108.18,148.00,81.00,2.00
orange,5.43,108.54,157.00,98.00,2.00
orange,5.45,108.63,145.00,75.00,18.00
orange,5.47,108.69,162.00,90.00,2.00
orange,5.47,108.85,170.00,82.00,11.00
orange,5.48,108.93,165.00,67.00,8.00
orange,5.48,109.16,146.00,72.00,2.00
orange,5.48,109.32,167.00,88.00,4.00
orange,5.48,109.37,128.00,87.00,4.00
orange,5.49,109.49,177.00,80.00,2.00
orange,5.51,109.49,150.00,98.00,5.00
orange,5.51,109.52,165.00,88.00,7.00
orange,5.51,109.59,157.00,82.00,3.00
orange,5.52,110.36,140.00,65.00,5.00
orange,5.53,110.40,169.00,76.00,3.00
orange,5.53,110.42,150.00,87.00,2.00
orange,5.57,110.47,145.00,81.00,9.00
orange,5.57,110.75,159.00,83.00,2.00
orange,5.58,110.89,160.00,73.00,3.00
orange,5.59,110.90,168.00,75.00,19.00
orange,5.60,111.00,167.00,74.00,2.00
orange,5.60,111.10,171.00,72.00,2.00
orange,5.61,111.16,165.00,84.00,2.00
orange,5.61,111.29,158.00,69.00,8.00
orange,5.61,111.31,167.00,104.00,2.00
orange,5.63,111.53,161.00,74.00,2.00
orange,5.65,111.59,138.00,78.00,14.00
orange,5.65,111.66,155.00,70.00,2.00
orange,5.65,111.69,158.00,107.00,3.00
orange,5.65,111.83,154.00,98.00,10.00
orange,5.66,111.88,163.00,86.00,3.00
orange,5.66,111.94,164.00,94.00,2.00
orange,5.67,111.95,165.00,78.00,2.00
orange,5.67,112.10,150.00,85.00,6.00
orange,5.68,112.15,137.00,76.00,9.00
orange,5.69,112.41,164.00,81.00,8.00
orange,5.71,112.70,168.00,78.00,2.00
orange,5.71,112.73,151.00,82.00,2.00
orange,5.71,112.77,154.00,62.00,20.00
orange,5.71,113.01,156.00,91.00,2.00
orange,5.72,113.14,164.00,95.00,2.00
orange,5.72,113.23,141.00,85.00,2.00
orange,5.73,113.26,169.00,66.00,2.00
orange,5.73,113.46,163.00,89.00,18.00
orange,5.73,113.62,155.00,87.00,2.00
orange,5.73,113.63,151.00,86.00,2.00
orange,5.73,113.66,156.00,68.00,4.00
orange,5.74,113.79,149.00,68.00,2.00
orange,5.76,113.79,168.00,94.00,30.00
orange,5.76,113.94,146.00,78.00,8.00
orange,5.77,114.17,150.00,95.00,2.00
orange,5.77,114.18,142.00,101.00,9.00
orange,5.77,114.30,163.00,76.00,2.00
orange,5.79,114.31,150.00,90.00,2.00
orange,5.79,114.39,144.00,73.00,2.00
orange,5.80,114.44,139.00,105.00,2.00
orange,5.80,114.48,165.00,68.00,2.00
orange,5.80,114.58,142.00,93.00,2.00
orange,5.80,114.64,165.00,87.00,15.00
orange,5.80,114.87,143.00,92.00,2.00
orange,5.81,114.92,161.00,98.00,11.00
orange,5.83,114.96,173.00,75.00,12.00
orange,5.84,114.96,152.00,84.00,17.00
orange,5.84,114.97,160.00,87.00,2.00
orange,5.84,114.97,161.00,93.00,3.00
orange,5.85,115.02,158.00,70.00,9.00
orange,5.86,115.03,138.00,70.00,9.00
orange,5.86,115.04,147.00,74.00,2.00
orange,5.87,115.16,168.00,77.00,9.00
orange,5.87,115.18,160.00,83.00,2.00
orange,5.88,115.23,154.00,73.00,22.00
orange,5.89,115.24,153.00,74.00,5.00
